sec,date,sales,cur.asset,cash.and.st.invest,cur.liab,tot.debt,tot.asset,tot.invest,tot.liab,lt.debt,st.debt,lt.invest,st.invest,pref.stk,accts.rec,inventory,net.fixed.asset,cash,earnings
DERM US Equity,12/31/14,7.3,105.463,97.151,11.89,1.936,178.221,108.276,24.642,1.936,0,66.483,41.793,-0.001,7.3,0,0.192,55.358,-31.875
DERM US Equity,12/31/15,7.3,217.233,214.693,25.896,0,221.932,108.47,36.457,0,0,1.019,107.451,0,0,0,0.386,107.242,-78.399
EGN US Equity,12/31/14,1363.768,919.36,1.852,560.323,1038.563,6138.258,0,2723.654,1038.563,0,0,0,0,157.678,14.251,5199.137,1.852,568.032
EGN US Equity,12/31/15,1031.188,246.34,1.272,287.521,776.087,4613.693,0,1717.833,776.087,0,0,0,0,63.097,11.255,4350.69,1.272,-945.731
ADRO US Equity,9/30/15,NA,452.589,445.948,33.1,0,457.854,267.421,214.637,0,0,2.464,264.957,22.522,3.147,0,2.454,180.991,NA
ADRO US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
AGIO US Equity,12/31/14,65.358,359.546,342.065,61.089,0,491.904,453.416,67.538,0,0,125.382,328.034,0,0,0,6.386,14.031,-53.504
AGIO US Equity,12/31/15,59.119,337.329,317.002,52.888,0,420.065,304.143,74.947,0,0,58.905,245.238,0,0,0,23.22,71.764,-117.732
CRZO US Equity,12/31/14,696.658,278.621,10.838,424.304,1351.346,2981.476,0,1878.035,1351.346,0,0,0,0,92.946,0,2629.253,10.838,226.343
CRZO US Equity,12/31/15,623.499,232.182,42.918,285.484,1255.676,2026.905,0,1582.851,1255.676,0,0,0,0,54.721,0,1716.861,42.918,-1155.154
ALNY US Equity,12/31/14,50.561,746.367,602.108,95.334,0,1079.595,806.75,143.328,0,0,279.821,526.929,0,0,0,21.74,75.179,-360.395
ALNY US Equity,12/31/15,41.097,1105.388,1029.112,62.099,0,1386.51,1100.056,121.796,0,0,251.839,848.217,0,0,0,27.812,180.895,-290.073
CHRS US Equity,3/31/15,NA,143.897,115.136,51.913,0,153.153,0,115.16,0,0,0,0,0,2.015,0,5.104,115.136,NA
CHRS US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CEMP US Equity,12/31/14,15.2158,104.8513,99.1134,18.0857,18.4717,105.3107,0,44.2898,14.8781,3.5935,0,0,0.3513,0,0,0.1131,99.1134,-61.6492
CEMP US Equity,12/31/15,27.3083,161.9763,153.7651,17.8906,19.7022,162.1393,0,44.4743,15.2578,4.4444,0,0,0,0,0,0.0897,153.7651,-91.1123
BVNRY US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
BVNRY US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
BLUE US Equity,12/31/14,25.421,479.989,473.555,42.978,0,556.739,144.158,65.482,0,0,18.448,125.71,0,0,0,15.74,347.845,-48.709
BLUE US Equity,12/31/15,14.079,523.965,517.949,40.368,0,1002.337,701.494,151.841,0,0,347.814,353.68,0,0,0,82.614,164.269,-166.783
TERP US Equity,12/31/14,130.39,612.404,468.393,183.903,1598.095,3378.018,0,1862.097,1517.962,80.133,0,0,0,31.986,0,2327.803,468.393,-75.645
TERP US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
